,1,2,3
0,5,3,2
1,3,2,1
2,1,2,4
3,4,2,1
4,3,4,5
5,6,1,5
6,3,2,4
7,6,4,5
8,1,2,5
9,5,1,2
10,1,2,5
11,4,3,1
12,6,3,5
13,4,2,3
14,2,4,3
15,6,2,1
16,2,3,6
17,4,3,2
18,6,1,3
19,1,6,2
20,6,2,5
21,6,2,3
22,4,2,6
23,6,3,2
24,2,4,3
25,5,2,6
26,1,5,3
27,5,4,2
28,2,3,1
29,5,4,2
30,1,5,3
31,5,1,6
32,2,6,3
33,5,3,6
34,5,6,3
35,6,3,1
36,3,1,2
37,2,5,4
38,4,6,1
39,4,5,1
40,5,3,1
41,6,1,4
42,2,1,3
43,5,3,4
44,5,3,1
45,4,5,3
46,5,2,3
47,6,5,2
48,2,4,3
49,1,2,5
50,5,4,6
51,5,6,4
52,1,2,3
53,3,6,5
54,5,4,3
55,2,3,1
56,4,3,6
57,3,2,4
58,4,2,3
59,4,5,6
60,2,4,1
61,1,6,5
62,2,3,6
63,5,3,2
64,1,3,5
65,1,3,4
66,1,3,2
67,1,2,3
68,6,2,1
69,3,1,2
70,1,4,6
71,5,3,2
72,4,2,6
73,4,1,2
74,5,3,4
75,2,5,1
76,6,3,1
77,6,3,1
78,1,6,5
79,6,2,5
80,2,1,5
81,6,2,4
82,3,6,5
83,5,3,4
84,6,2,1
85,2,5,6
86,6,3,4
87,1,5,6
88,3,2,5
89,4,3,5
90,5,6,3
91,4,6,3
92,3,5,1
93,3,5,4
94,5,3,1
95,3,5,4
96,4,2,3
97,5,3,4
98,3,1,5
99,6,1,5
100,6,1,3
101,5,1,3
102,5,6,4
103,1,3,2
104,1,3,6
105,5,3,4
106,4,2,6
107,6,3,5
108,3,6,2
109,2,5,3
110,3,4,6
111,6,1,3
112,3,5,4
113,5,3,6
114,5,3,2
115,4,1,5
116,1,5,3
117,4,5,6
118,6,1,4
119,5,6,4
120,3,6,5
121,1,3,5
122,5,6,1
123,6,1,4
124,5,2,1
125,2,6,3
126,6,1,3
127,4,3,2
128,3,4,6
129,4,2,5
130,6,2,4
131,2,4,3
132,5,1,2
133,1,6,4
134,2,1,4
135,3,5,6
136,4,6,5
137,3,2,5
138,6,4,5
139,3,6,5
140,3,4,2
141,4,6,3
142,2,6,5
143,4,2,5
144,5,3,1
145,4,2,5
146,6,4,1
147,4,2,3
148,1,4,3
149,1,5,6
150,2,4,3
151,3,2,5
152,1,4,2
153,1,3,5
154,1,5,6
155,1,5,6
156,4,1,2
157,3,1,2
158,2,3,5
159,3,6,4
160,6,3,2
161,2,3,5
162,3,6,5
163,5,1,4
164,3,1,6
165,4,3,5
166,1,2,4
167,5,4,1
168,4,1,2
169,4,3,2
170,1,4,6
171,6,4,3
172,1,2,6
173,3,6,2
174,3,2,1
175,2,6,1
176,6,4,2
177,2,3,4
178,6,5,4
179,3,4,2
180,6,5,3
181,4,6,2
182,5,3,2
183,4,6,1
184,1,3,2
185,2,3,1
186,6,4,1
187,2,6,1
188,6,2,5
189,3,1,6
190,2,4,5
191,5,1,4
192,6,4,5
193,4,3,5
194,2,1,6
195,6,1,2
196,2,5,3
197,2,1,6
198,6,1,3
199,4,6,1
200,5,3,4
201,1,3,6
202,2,6,4
203,1,6,3
204,3,5,6
205,1,2,5
206,6,3,5
207,1,3,6
208,6,1,5
209,5,3,6
210,3,5,4
211,1,5,4
212,6,3,4
213,2,4,6
214,5,4,3
215,5,2,4
216,3,2,5
217,4,6,1
218,2,6,3
219,4,3,5
220,5,6,4
221,6,5,2
222,1,6,2
223,2,4,6
224,6,3,5
225,4,3,5
226,5,4,1
227,3,2,1
228,5,4,1
229,5,1,3
230,6,4,1
231,5,6,2
232,5,6,2
233,1,6,4
234,1,6,4
235,2,6,3
236,3,1,5
237,4,3,6
238,3,5,1
239,1,3,2
240,5,4,2
241,4,1,6
242,5,6,4
243,1,2,4
244,6,4,3
245,1,6,3
246,1,3,4
247,2,4,3
248,6,5,1
249,5,4,2
250,4,2,6
251,2,6,5
252,5,6,2
253,4,3,5
254,4,3,5
255,3,2,6
256,3,4,2
257,4,3,1
258,2,5,6
259,4,2,6
260,4,3,6
261,6,5,2
262,4,2,3
263,5,2,6
264,5,1,6
265,4,5,6
266,4,5,3
267,1,3,5
268,3,1,4
269,4,3,6
270,3,6,2
271,1,2,4
272,6,2,3
273,4,3,2
274,4,1,6
275,2,1,5
276,1,6,2
277,1,2,4
278,6,4,5
279,3,4,6
280,5,1,4
281,1,5,6
282,2,5,4
283,4,6,2
284,5,4,6
285,6,5,1
286,5,4,2
287,6,2,5
288,4,5,3
289,2,1,3
290,5,3,1
291,2,3,5
292,4,1,5
293,3,2,6
294,2,6,1
295,5,1,2
296,3,5,6
297,3,1,4
298,3,4,6
299,3,5,2
300,1,6,4
301,5,4,6
302,5,2,4
303,4,2,6
304,6,1,4
305,6,1,5
306,3,2,5
307,3,6,1
308,6,2,4
309,5,2,6
310,2,4,1
311,5,4,2
312,4,5,3
313,3,2,4
314,3,4,6
315,4,2,5
316,3,2,4
317,2,6,5
318,2,1,5
319,2,5,6
320,1,4,5
321,6,2,5
322,6,2,5
323,1,2,3
324,6,2,5
325,1,6,3
326,4,2,6
327,6,5,4
328,4,2,3
329,6,2,4
330,2,4,3
331,1,5,4
332,1,4,2
333,4,3,2
334,4,1,3
335,3,1,5
336,2,1,3
337,2,5,1
338,5,2,3
339,6,5,4
340,3,1,5
341,1,5,2
342,5,4,6
343,2,4,6
344,4,5,2
345,3,2,5
346,5,3,2
347,1,5,2
348,6,2,5
349,1,3,4
350,4,2,3
351,1,4,2
352,6,3,2
353,4,1,5
354,6,3,1
355,2,6,5
356,6,3,2
357,1,2,5
358,5,3,2
359,6,2,4
360,1,5,6
361,1,5,4
362,1,4,3
363,3,6,2
364,2,4,6
365,5,3,6
366,6,2,5
367,2,4,3
368,1,6,4
369,1,2,5
370,6,3,5
371,5,4,2
372,5,6,3
373,4,1,5
374,2,1,4
375,5,1,4
376,2,5,1
377,3,5,2
378,1,4,3
379,5,3,6
380,3,1,5
381,1,6,3
382,3,6,1
383,1,3,4
384,2,1,3
385,1,5,6
386,1,2,6
387,6,2,4
388,6,1,4
389,1,6,3
390,1,4,3
391,2,6,3
392,3,6,2
393,3,2,1
394,1,5,6
395,6,1,4
396,1,2,6
397,6,5,3
398,4,2,1
399,2,3,1
400,4,3,2
401,6,3,2
402,6,3,4
403,3,4,5
404,4,2,6
405,6,3,1
406,1,5,4
407,4,2,6
408,6,3,4
409,1,3,6
410,4,2,6
411,2,1,4
412,6,1,3
413,2,6,1
414,2,5,1
415,2,5,3
416,2,4,5
417,6,2,5
418,3,5,6
419,6,5,2
420,1,6,2
421,2,1,4
422,4,1,3
423,6,2,1
424,4,5,3
425,6,1,4
426,3,5,2
427,5,1,4
428,6,2,1
429,1,5,6
430,3,1,4
431,2,3,4
432,1,6,5
433,6,2,4
434,6,1,2
435,2,1,6
436,3,1,2
437,5,4,2
438,3,1,4
439,1,4,3
440,4,2,3
441,3,1,5
442,2,6,3
443,5,4,2
444,6,3,1
445,4,3,5
446,5,3,2
447,2,4,6
448,2,1,3
449,3,1,4
450,5,3,6
451,4,3,6
452,3,5,1
453,6,3,5
